season,week,team,opponent_team,player,position,pred_rec_yards,pred_carries,pred_rush_yards,offense_snaps_last,snap_pct_last
2025,16,SF,IND,Christian McCaffrey,RB,44.91677137383125,16.270183788329895,85.33476730511468,62,0.8378378378378378
2025,16,SF,IND,George Kittle,TE,50.94250430586787,0.5222227509773099,0.44139943051431396,71,0.9594594594594594
2025,16,SF,IND,Jauan Jennings,WR,48.606894208117666,0.44520365413058016,0.3627775155876378,60,0.8108108108108109
2025,16,SF,IND,Brian Robinson,RB,10.3288618497763,6.80955682034577,26.322722796466778,NA,NA
2025,16,SF,IND,Ricky Pearsall,WR,29.78213075382041,0.6468848994636875,0.5469638156686426,43,0.581081081081081
2025,16,SF,IND,Kendrick Bourne,WR,18.345894068559016,0.44520365413058016,0.3627775155876378,33,0.44594594594594594
2025,16,SF,IND,Demarcus Robinson,WR,15.220226522432435,0.6610321072596689,0.5601088997532911,23,0.3108108108108108
2025,16,SF,IND,Kyle Juszczyk,FB,15.239750870491923,0.44520365413058016,0.3627775155876378,46,0.6216216216216216
2025,16,SF,IND,Brock Purdy,QB,4.684061723732082,2.930476938585488,5.352569362772731,74,1
2025,16,SF,IND,Skyy Moore,WR,6.141440021423971,0.44520365413058016,0.3627775155876378,0,0
